"gender","type","year","y","wr"
"men","100m breaststroke SCM",2006,1.73400381480839,1.80897250361794
"men","100m breaststroke SCM",2007,1.70881749829118,1.80897250361794
"men","100m breaststroke SCM",2008,1.75808720112518,1.80897250361794
"men","100m breaststroke SCM",2009,1.79823772702751,1.80897250361794
"men","100m breaststroke SCM",2010,1.76056338028169,1.80897250361794
"men","100m breaststroke SCM",2011,1.75284837861525,1.80897250361794
"men","100m breaststroke SCM",2012,1.75131348511384,1.80897250361794
"men","100m breaststroke SCM",2013,1.77022481855196,1.80897250361794
"men","100m breaststroke SCM",2014,1.77777777777778,1.80897250361794
"men","100m breaststroke SCM",2015,1.77210703526493,1.80897250361794
"men","100m breaststroke SCM",2016,1.77525297354873,1.80897250361794
"men","100m breaststroke SCM",2017,1.78762960314623,1.80897250361794
"men","100m breaststroke SCM",2018,1.78539546509552,1.80897250361794
"men","100m breaststroke SCM",2019,1.78922884236894,1.80897250361794
"men","100m breaststroke SCM",2020,1.80701120346946,1.80897250361794
"men","100m breaststroke SCM",2021,1.80897250361794,1.80897250361794
"men","100m breaststroke SCM",2022,1.78954903364352,1.80897250361794
"men","100m breaststroke SCM",2023,1.77525297354873,1.80897250361794
"men","100m breaststroke SCM",2024,1.80277627546421,1.80897250361794
"men","100m butterfly LCM",2000,1.92455735180908,2.02224469160768
"men","100m butterfly LCM",2001,1.91938579654511,2.02224469160768
"men","100m butterfly LCM",2002,1.92529842125529,2.02224469160768
"men","100m butterfly LCM",2003,1.96155355041193,2.02224469160768
"men","100m butterfly LCM",2004,1.97005516154452,2.02224469160768
"men","100m butterfly LCM",2005,1.98412698412698,2.02224469160768
"men","100m butterfly LCM",2006,1.94287934719254,2.02224469160768
"men","100m butterfly LCM",2007,1.96966712625566,2.02224469160768
"men","100m butterfly LCM",2008,1.97706603400554,2.02224469160768
"men","100m butterfly LCM",2009,2.00722601364914,2.02224469160768
"men","100m butterfly LCM",2010,1.96618167518679,2.02224469160768
"men","100m butterfly LCM",2011,1.97199763360284,2.02224469160768
"men","100m butterfly LCM",2012,1.96618167518679,2.02224469160768
"men","100m butterfly LCM",2013,1.95848021934978,2.02224469160768
"men","100m butterfly LCM",2014,1.95427008012507,2.02224469160768
"men","100m butterfly LCM",2015,1.98216055500496,2.02224469160768
"men","100m butterfly LCM",2016,1.98452073824171,2.02224469160768
"men","100m butterfly LCM",2017,2.00561572402728,2.02224469160768
"men","100m butterfly LCM",2018,1.98019801980198,2.02224469160768
"men","100m butterfly LCM",2019,2.02020202020202,2.02224469160768
"men","100m butterfly LCM",2020,1.96386488609584,2.02224469160768
"men","100m butterfly LCM",2021,2.02224469160768,2.02224469160768
"men","100m butterfly LCM",2022,1.999600079984,2.02224469160768
"men","100m butterfly LCM",2023,1.99441563621859,2.02224469160768
"men","100m butterfly LCM",2024,2.00400801603206,2.02224469160768
"men","100m butterfly SCM",2000,1.98255352894528,2.09599664640537
"men","100m butterfly SCM",2001,1.98965380023876,2.09599664640537
"men","100m butterfly SCM",2002,1.99600798403194,2.09599664640537
"men","100m butterfly SCM",2003,1.99920031987205,2.09599664640537
"men","100m butterfly SCM",2004,2.03790503362543,2.09599664640537
"men","100m butterfly SCM",2005,1.9782393669634,2.09599664640537
"men","100m butterfly SCM",2006,1.97511356903022,2.09599664640537
"men","100m butterfly SCM",2007,1.99044585987261,2.09599664640537
"men","100m butterfly SCM",2008,2.0329335230738,2.09599664640537
"men","100m butterfly SCM",2009,2.06270627062706,2.09599664640537
"men","100m butterfly SCM",2010,2.002002002002,2.09599664640537
"men","100m butterfly SCM",2011,2.01531640467553,2.09599664640537
"men","100m butterfly SCM",2012,2.04834084391643,2.09599664640537
"men","100m butterfly SCM",2013,2.04918032786885,2.09599664640537
"men","100m butterfly SCM",2014,2.06440957886045,2.09599664640537
"men","100m butterfly SCM",2015,2.05634382068682,2.09599664640537
"men","100m butterfly SCM",2016,2.07986688851913,2.09599664640537
"men","100m butterfly SCM",2017,2.03707476064372,2.09599664640537
"men","100m butterfly SCM",2018,2.06185567010309,2.09599664640537
"men","100m butterfly SCM",2019,2.03832042397065,2.09599664640537
"men","100m butterfly SCM",2020,2.09292591042277,2.09599664640537
"men","100m butterfly SCM",2021,2.06058108386565,2.09599664640537
"men","100m butterfly SCM",2022,2.05846027171676,2.09599664640537
"men","100m butterfly SCM",2023,2.0631318341242,2.09599664640537
"men","100m butterfly SCM",2024,2.09599664640537,2.09599664640537
"men","100m freestyle LCM",2000,2.09030100334448,2.1551724137931
"men","100m freestyle LCM",2001,2.06910821435961,2.1551724137931
"men","100m freestyle LCM",2002,2.08942749686586,2.1551724137931
"men","100m freestyle LCM",2003,2.06654267410622,2.1551724137931
"men","100m freestyle LCM",2004,2.07598090097571,2.1551724137931
"men","100m freestyle LCM",2005,2.07813798836243,2.1551724137931
"men","100m freestyle LCM",2006,2.05888408482602,2.1551724137931
"men","100m freestyle LCM",2007,2.06526228831062,2.1551724137931
"men","100m freestyle LCM",2008,2.12539851222104,2.1551724137931
"men","100m freestyle LCM",2009,2.13174163291409,2.1551724137931
"men","100m freestyle LCM",2010,2.08420175072947,2.1551724137931
"men","100m freestyle LCM",2011,2.10570646451885,2.1551724137931
"men","100m freestyle LCM",2012,2.12314225053079,2.1551724137931
"men","100m freestyle LCM",2013,2.10393435724805,2.1551724137931
"men","100m freestyle LCM",2014,2.10128178188695,2.1551724137931
"men","100m freestyle LCM",2015,2.09030100334448,2.1551724137931
"men","100m freestyle LCM",2016,2.12585034013605,2.1551724137931
"men","100m freestyle LCM",2017,2.11999152003392,2.1551724137931
